
*** ChampSim Multicore Out-of-Order Simulator ***

Warmup Instructions: 10000
Simulation Instructions: 2000000
Number of CPUs: 1
Off-chip DRAM Size: 4 GiB Channels: 1 Width: 64-bit Data Rate: 3200 MT/s

VirtualMemory physical capacity: 8588881920 num_ppages: 2096895
VirtualMemory page size: 4096 log2_page_size: 12

CPU 0 runs ./traces/400.perlbench-41B.champsimtrace.xz
CPU 0 Bimodal branch predictor
Basic BTB sets: 1024 ways: 8 indirect buffer size: 4096 RAS size: 64
[INFO] Current addr: 3813653888, Transformer predicted: 3813653952
WARNING: The extended signature CACHE::prefetch_line(ip, base_addr, pf_addr, fill_this_level, prefetch_metadata) is deprecated.
WARNING: Use CACHE::prefetch_line(pf_addr, fill_this_level, prefetch_metadata) instead.
[INFO] Current addr: 7929167936, Transformer predicted: 6603708672
[INFO] Current addr: 7081078272, Transformer predicted: 7081078016
[INFO] Current addr: 7081078016, Transformer predicted: 2633966976
[INFO] Current addr: 7929168640, Transformer predicted: 3813651136
[INFO] Current addr: 6109024448, Transformer predicted: 1231683840
[INFO] Current addr: 6109025024, Transformer predicted: 3813651264
[INFO] Current addr: 157944576, Transformer predicted: 6600395584
[INFO] Current addr: 157944640, Transformer predicted: 5517112384
[INFO] Current addr: 8349963328, Transformer predicted: 1231684736
[INFO] Current addr: 8349963392, Transformer predicted: 1231686272
[INFO] Current addr: 3083472256, Transformer predicted: 7655523712
[INFO] Current addr: 3083470144, Transformer predicted: 3083470592
[INFO] Current addr: 6109025088, Transformer predicted: 3083469696
[INFO] Current addr: 157943936, Transformer predicted: 1231685824
[INFO] Current addr: 157944000, Transformer predicted: 1231685888
[INFO] Current addr: 157944064, Transformer predicted: 1231685376
[INFO] Current addr: 6985211328, Transformer predicted: 8223083200
[INFO] Current addr: 6985211392, Transformer predicted: 6502317312
[INFO] Current addr: 6985211456, Transformer predicted: 3083471552
[INFO] Current addr: 3813654016, Transformer predicted: 1743895808
[INFO] Current addr: 7081077568, Transformer predicted: 1743895808
[INFO] Current addr: 7081077376, Transformer predicted: 1743892800
[INFO] Current addr: 6109025152, Transformer predicted: 3813651392
[INFO] Current addr: 3657332288, Transformer predicted: 5330710784
[INFO] Current addr: 7929169728, Transformer predicted: 6802089024
[INFO] Current addr: 5517112832, Transformer predicted: 1231687104
[INFO] Current addr: 3083472320, Transformer predicted: 3813651392
[INFO] Current addr: 6109025216, Transformer predicted: 3083470528
[INFO] Current addr: 6985208192, Transformer predicted: 6985208832
[INFO] Current addr: 1743895808, Transformer predicted: 1743895872
[INFO] Current addr: 1743895872, Transformer predicted: 1743895936
[INFO] Current addr: 1743895936, Transformer predicted: 8349963392
[INFO] Current addr: 7003590912, Transformer predicted: 7003591680
[INFO] Current addr: 6109025280, Transformer predicted: 7003591744
[INFO] Current addr: 5517112704, Transformer predicted: 1743894656
[INFO] Current addr: 5517112640, Transformer predicted: 2419192704
[INFO] Current addr: 6109025408, Transformer predicted: 3017438272
[INFO] Current addr: 6109025472, Transformer predicted: 6109025728
[INFO] Current addr: 2633967296, Transformer predicted: 1625126656
[INFO] Current addr: 2633967360, Transformer predicted: 6600395456
[INFO] Current addr: 2633967488, Transformer predicted: 2633967424
[INFO] Current addr: 2633967552, Transformer predicted: 2633967424
[INFO] Current addr: 2633967424, Transformer predicted: 7003591040
[INFO] Current addr: 6109024512, Transformer predicted: 5831066624
[INFO] Current addr: 6109024576, Transformer predicted: 1231686848
[INFO] Current addr: 6109024640, Transformer predicted: 2633966400
[INFO] Current addr: 6109024704, Transformer predicted: 6109026496
[INFO] Current addr: 6109024768, Transformer predicted: 3083472064
[INFO] Current addr: 5517113280, Transformer predicted: 5517113344
[INFO] Current addr: 3813653696, Transformer predicted: 6109025088
[INFO] Current addr: 5517113344, Transformer predicted: 5517113408
[INFO] Current addr: 5517113408, Transformer predicted: 5517113472
[INFO] Current addr: 5517113472, Transformer predicted: 5517113536
[INFO] Current addr: 5517113536, Transformer predicted: 6109027520
[INFO] Current addr: 3083470528, Transformer predicted: 5517114944
[INFO] Current addr: 6109024832, Transformer predicted: 6109024768
[INFO] Current addr: 6109024896, Transformer predicted: 6109024832

Warmup complete CPU 0 instructions: 10001 cycles: 2570 (Simulation time: 0 hr 0 min 5 sec) 

[INFO] Current addr: 5517114944, Transformer predicted: 6109025472
[INFO] Current addr: 7929169088, Transformer predicted: 3083470272
[INFO] Current addr: 3657332224, Transformer predicted: 6585078144
[INFO] Current addr: 2633967744, Transformer predicted: 2633967808
[INFO] Current addr: 2633967808, Transformer predicted: 2633967872
[INFO] Current addr: 2633967936, Transformer predicted: 2633968192
[INFO] Current addr: 2633968000, Transformer predicted: 2633967872
[INFO] Current addr: 2633967872, Transformer predicted: 2633968192
[INFO] Current addr: 2633968192, Transformer predicted: 2633968256
[INFO] Current addr: 2633968256, Transformer predicted: 2633968320
[INFO] Current addr: 7655523712, Transformer predicted: 2633968320
[INFO] Current addr: 2633968320, Transformer predicted: 1743894720
[INFO] Current addr: 1743894720, Transformer predicted: 2416377472
[INFO] Current addr: 268893824, Transformer predicted: 2416377536
[INFO] Current addr: 268893888, Transformer predicted: 8474182144
[INFO] Current addr: 7929168384, Transformer predicted: 2416377024
[INFO] Current addr: 268893376, Transformer predicted: 2416377088
[INFO] Current addr: 268893440, Transformer predicted: 7081077824
[INFO] Current addr: 7081077824, Transformer predicted: 2416377152
[INFO] Current addr: 268893504, Transformer predicted: 2416377088
[INFO] Current addr: 268893568, Transformer predicted: 2633968448
[INFO] Current addr: 2633968448, Transformer predicted: 2633968512
[INFO] Current addr: 2633968512, Transformer predicted: 7163570816
[INFO] Current addr: 7163570816, Transformer predicted: 7163570880
[INFO] Current addr: 7163570880, Transformer predicted: 2633968576
[INFO] Current addr: 2633968576, Transformer predicted: 7163570112
[INFO] Current addr: 7163570112, Transformer predicted: 7163570176
[INFO] Current addr: 2633968640, Transformer predicted: 7163570176
[INFO] Current addr: 7163570176, Transformer predicted: 7163570240
[INFO] Current addr: 7163570240, Transformer predicted: 2633968704
[INFO] Current addr: 2633968704, Transformer predicted: 7081078336
[INFO] Current addr: 7081078336, Transformer predicted: 1743895552
[INFO] Current addr: 1743895552, Transformer predicted: 4992478656
[INFO] Current addr: 4992478656, Transformer predicted: 7882644032
[INFO] Current addr: 1131637312, Transformer predicted: 7081078080
[INFO] Current addr: 3471373184, Transformer predicted: 7882644736
[INFO] Current addr: 7882644736, Transformer predicted: 7882644800
[INFO] Current addr: 7882644800, Transformer predicted: 8474181824
[INFO] Current addr: 7929168064, Transformer predicted: 4166504384
[INFO] Current addr: 7882644864, Transformer predicted: 7616001280
[INFO] Current addr: 7616001280, Transformer predicted: 7882644928
[INFO] Current addr: 7882644928, Transformer predicted: 3471373120
[INFO] Current addr: 3471373120, Transformer predicted: 3471373760
[INFO] Current addr: 3471373760, Transformer predicted: 1164128384
[INFO] Current addr: 1164128384, Transformer predicted: 1164128448
[INFO] Current addr: 1164128448, Transformer predicted: 7081078720
[INFO] Current addr: 7081078720, Transformer predicted: 1236043008
[INFO] Current addr: 5212120320, Transformer predicted: 1236043008
[INFO] Current addr: 1236043008, Transformer predicted: 2494969472
[INFO] Current addr: 2494971648, Transformer predicted: 1164128704
[INFO] Current addr: 5040481920, Transformer predicted: 4582955008
[INFO] Current addr: 7929169920, Transformer predicted: 3471373696
[INFO] Current addr: 1164128512, Transformer predicted: 8474183680
[INFO] Current addr: 3471373696, Transformer predicted: 6868107328
[INFO] Current addr: 6868107328, Transformer predicted: 6868107392
[INFO] Current addr: 6868107392, Transformer predicted: 8474182912
[INFO] Current addr: 7929169152, Transformer predicted: 7929169216
[INFO] Current addr: 2494971776, Transformer predicted: 7458952704
[INFO] Current addr: 2494971712, Transformer predicted: 7458952704
[INFO] Current addr: 6868107584, Transformer predicted: 6868107776
